ID,Author,category,species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
117,"Mosher et al., 2007",dog,whippet dog,mstn,gene_editing,NA,body_weight,P1,0,5,0.45,0.07,22,0.23,0.06
128,"Boman et al., 2009",sheep,Norwegian White,mstn,gene_editing,NA,body_weight,P1,150,7,24.2,4.8,395,19.2,6.1
129,"Boman et al., 2009",sheep,Norwegian White,mstn,gene_editing,NA,body_weight,P1,150,17,23.4,3.3,395,19.2,6.1
130,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,49,489,545.87,4.97,126,538.31,7.48
131,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,49,415,550.35,5.22,126,538.31,7.48
132,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,63,489,661.42,7.96,126,646.19,14.3
133,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,63,415,654.43,8.57,126,646.19,14.3
134,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,77,489,721.52,10.11,126,700.37,16.21
135,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,77,415,745.24,10.72,126,700.37,16.21
136,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,91,489,991.41,9.32,126,971.84,13.84
137,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,91,415,1003.47,9.77,126,971.84,13.84
138,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,119,489,1295.19,11.15,126,1252.45,17.08
139,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,119,415,1298.43,11.74,126,1252.45,17.08
140,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,49,356,535.18,5.45,648,553.5,4.75
141,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,49,27,535.8,13.43,648,553.5,4.75
142,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,63,356,646.69,9.15,648,661.33,7.21
143,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,63,27,675.25,28.69,648,661.33,7.21
144,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,77,356,712.2,11.38,648,738.68,9.61
145,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,77,27,690.82,30.57,648,738.68,9.61
146,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,91,356,978.04,10.24,648,1003.05,8.97
147,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,91,27,973.31,24.85,648,1003.05,8.97
148,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,119,356,1276.46,12.34,648,1302.55,10.65
149,"Tang et al., 2010",chicken,Beijing You,TGF?2,gene_editing,NA,body_weight,F1,119,27,1211.65,31.31,648,1302.55,10.65
175,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,body_weight,P1,240,3,47.07,1.4,6,38.03,0.54
186,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,15,5,8.086,0.756,12,4.332,0.378
187,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,15,5,9.824,0.907,12,4.332,0.378
188,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,30,5,12.594,1.411,12,7.053,0.353
189,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,30,5,11.662,0.655,12,7.053,0.353
190,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,60,5,15.416,1.108,12,8.438,0.605
191,"Crispo et al., 2015",sheep,Helsinki ,mstn,gene_editing,NA,body_weight,P1,60,5,12.544,0.504,12,8.438,0.605
195,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,F1,14,4,0.241,0.072,4,0.179,0
196,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,F1,28,4,0.604,0.179,4,0.469,0
197,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,F1,42,4,1.39,0.107,4,1.127,0
198,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,F1,49,4,1.873,0.179,4,1.484,0.094
199,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,F1,56,4,2.222,0.179,4,1.663,0.098
200,"Zhong et al., 2016",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,30,20,0.151,0.015,20,0.118,0.023
201,"Zhong et al., 2016",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,60,20,0.602,0.023,20,0.482,0.028
202,"Zhong et al., 2016",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,90,20,1.144,0.028,20,0.991,0.063
208,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,30,3,6.338,0,3,7.042,0
209,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,60,3,20.246,2.113,3,20.07,0
210,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,90,3,33.099,3.345,3,28.873,0
211,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,120,3,49.824,2.465,3,43.838,2.113
212,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,150,3,66.901,2.465,3,58.979,0
213,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,body_weight,P1,180,3,87.324,0,3,81.338,2.641
215,"Rao et al., 2016",pig,Crossbred,mstn,gene_editing,NA,body_weight,P1,30,1,4.4,0,3,2.46,0.73
216,"Rao et al., 2016",pig,Crossbred,mstn,gene_editing,NA,body_weight,P1,30,1,2.4,0,3,1.66,0.09
217,"Rao et al., 2016",pig,Crossbred,mstn,gene_editing,NA,body_weight,P1,30,1,2.5,0,3,1.62,0.15
218,"Guo et al., 2016",rabbit,Jiangsu,mstn,gene_editing,NA,body_weight,P1,0,8,2.1,0.59,10,1.19,0.16
219,"Guo et al., 2016",rabbit,Jiangsu,mstn,gene_editing,NA,body_weight,P1,0,8,1.01,0.27,10,0.67,0.13
220,"Guo et al., 2016",rabbit,Jiangsu,mstn,gene_editing,NA,body_weight,P1,0,8,0.86,0.21,10,0.43,0.059
221,"Guo et al., 2016",rabbit,Jiangsu,mstn,gene_editing,NA,body_weight,P1,0,31,61.1,14.87,42,51.24,7.97
222,"Guo et al., 2016",goat,Haimen,mstn,gene_editing,NA,body_weight,P1,4,4,3.072,0.483,17,2.488,0.28
223,"Guo et al., 2016",goat,Haimen,mstn,gene_editing,NA,body_weight,P1,120,4,15.619,0,17,12.216,0.361
233,"Wang et al., 2017",pig,Erhualian,mstn,gene_editing,NA,body_weight,P1,0,23,823.009,50.147,75,628.319,135.693
237,"Khalil et al., 2017",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,40,115,234.3,6.9,115,180.6,2.77
238,"Zou et al., 2018",pig,Large white,FBXO40,gene_editing,NA,body_weight,F1,150,5,58.772,1.574,5,54.63,0.517
239,"Zou et al., 2018",pig,Large white,FBXO40,gene_editing,NA,body_weight,F1,150,5,7.015,0.315,5,7.054,0.591
240,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,120,4,15.87,1.706,4,11.007,1.024
241,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,150,4,18.089,1.706,4,13.14,1.621
242,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,180,4,21.16,2.133,4,14.164,1.706
243,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,120,4,21.875,0.833,5,13.333,0.729
244,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,150,4,23.438,1.354,5,16.667,1.146
245,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,P1,180,4,28.229,1.562,5,19.792,1.354
246,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,0,6,0.65,0.04,5,0.7,0.03
247,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,0,8,0.68,0.03,4,0.66,0.05
248,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,45,6,5.82,0.27,5,5.29,0.17
249,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,45,8,6.59,0.2,4,5.64,0.18
250,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,150,6,35.39,3.03,5,27.58,1.18
251,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,body_weight,F1,150,8,38.87,0.9,4,30.27,2.9
259,"Kishimoto et al., 2018",fish,red sea bream,mstn,gene_editing,NA,body_weight,F1,559,4,770.5,78.5,5,859.1,163.2
260,"Kishimoto et al., 2018",fish,red sea bream,mstn,gene_editing,NA,body_weight,F1,559,3,771.9,90.4,5,859.1,163.2
262,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,0,6,3.25,0.94,12,3.36,0.48
263,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,20,6,7.09,1.3,12,7.6,1.25
264,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,36,6,9.63,2.06,12,10.46,1.07
265,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,60,6,13.07,2.22,12,13.69,1.65
266,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,90,6,17.32,2.62,12,15.17,2.35
267,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,120,6,20.31,3.48,12,17.35,1.91
268,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,body_weight,P1,210,6,31.21,4.09,12,25.09,2.33
271,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,0,10,3.383,0,20,2.707,0
272,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,30,10,8.571,2.03,20,6.09,0
273,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,60,10,13.083,4.511,20,8.12,1.805
274,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,90,10,17.594,4.962,20,12.406,2.481
275,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,120,10,24.812,7.218,20,17.82,3.158
276,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,150,10,28.195,6.992,20,19.173,4.511
277,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,180,10,31.353,5.865,20,24.361,2.707
278,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,210,10,35.865,4.962,20,27.97,2.707
279,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,240,10,41.729,5.188,20,29.774,2.932
280,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,270,10,45.113,6.767,20,33.383,3.609
281,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,300,10,48.271,5.188,20,35.188,3.158
282,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,330,10,54.135,6.767,20,36.09,4.06
283,"Wang et al., 2018",goat,Cashmere,mstn,gene_editing,NA,body_weight,P1,360,10,56.842,6.541,20,40.602,5.414
291,"Liu et al., 2019",pig,Liang Guang Small Spotted ,IGF2,gene_editing,NA,body_weight,P1,175,1,44.384,0,45,37.808,1.151
292,"Liu et al., 2019",pig,Liang Guang Small Spotted ,IGF2,gene_editing,NA,body_weight,P1,338,1,86.294,0,7,53.735,4.765
293,"Kim et al., 2019",fish,olive flounder,mstn,gene_editing,NA,body_weight,P1,159,3,77.419,0,3,64.516,10.753
294,"Kim et al., 2019",fish,olive flounder,mstn,gene_editing,NA,body_weight,P1,188,3,115.054,10.753,3,106.452,22.581
295,"Kim et al., 2019",fish,olive flounder,mstn,gene_editing,NA,body_weight,P1,226,3,205.376,43.011,3,189.247,11.828
296,"Kim et al., 2019",fish,olive flounder,mstn,gene_editing,NA,body_weight,P1,251,3,286.022,69.892,3,250.538,26.882
301,"Yin et al., 2019",pig,Chinese Experimental Mini,mc3r,gene_editing,NA,body_weight,F1,114,6,57.358,3.27,6,50.818,3.019
302,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,63,5,489.796,0,5,306.122,183.673
303,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,63,3,326.633,150.754,5,326.633,138.191
304,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,70,5,887.755,0,5,596.939,122.449
305,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,70,3,690.955,175.879,5,628.141,125.628
306,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,77,5,1178.571,0,5,795.918,168.367
307,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,77,3,1067.839,175.879,5,904.523,125.628
308,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,84,5,1637.755,61.224,5,1163.265,137.755
309,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,84,3,1469.849,138.191,5,1130.653,175.879
310,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,91,5,2020.408,0,5,1392.857,244.898
311,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,91,3,1884.422,188.442,5,1369.347,138.191
312,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,98,5,2318.4,183.15,5,1966.2,225.56
313,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,body_weight,P1,98,3,2579.33,67.99,5,2063.33,186.47
318,"Ohama et al., 2020",fish,red sea bream,mstn,gene_editing,NA,body_weight,F1,134,51,42.7,7.6,51,41.1,10.3
319,"Ohama et al., 2020",fish,red sea bream,mstn,gene_editing,NA,body_weight,F1,190,49,94.7,12.2,50,86.2,15.8
329,"Sun et al., 2020a",fish,blunt snout bream,mstn,gene_editing,NA,body_weight,P1,180,30,135.25,3.15,30,125.25,2.64
330,"Sun et al., 2020a",fish,blunt snout bream,mstn,gene_editing,NA,body_weight,P1,180,30,133.75,2.35,30,125.25,2.64
331,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,0,11,5.882,0.35,11,6.863,0
332,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,7,11,24.02,1.26,11,21.078,0
333,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,14,11,42.647,3.431,11,43.137,0
334,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,21,11,71.569,2.451,11,63.235,0
335,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,28,11,92.157,4.412,11,83.824,0
336,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,35,11,112.745,1.961,11,99.02,0
337,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,42,11,132.843,4.412,11,116.176,0
338,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,7,10,6.667,12.3,10,5.714,0
339,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,14,10,23.333,1.6,10,20,0
340,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,21,10,41.905,4.31,10,38.571,0
341,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,28,10,64.762,2.381,10,58.095,0
342,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,35,10,86.667,3.333,10,77.619,0
343,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,42,10,105.714,10.21,10,91.905,0
344,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,49,10,112.857,11.2,10,99.048,0
345,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,body_weight,P1,56,10,120,10.3,10,101.905,0
354,"Li et al., 2020",pig,Duroc Meishan,mstn,gene_editing,NA,body_weight,F1,210,13,101.25,10.98,8,102.29,14.3
355,"Li et al., 2020",pig,Duroc Meishan,mstn,gene_editing,NA,body_weight,F1,210,15,99.65,7.4,7,103.57,11.1
358,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,84,14,1183.007,55.556,16,1205.882,42.484
359,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,91,14,1333.333,62.092,16,1307.19,68.627
360,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,98,14,1437.908,65.359,16,1388.889,81.699
361,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,105,14,1558.824,71.895,16,1500,75.163
362,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,112,14,1643.791,71.895,16,1555.556,71.895
363,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,119,14,1728.758,58.824,16,1630.719,84.967
364,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,body_weight,F1,126,14,1816.993,75.163,16,1669.935,88.235
384,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,80,34,16.48,3.4,14,14.26,3.23
385,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,80,18,18.28,5.54,14,14.26,3.23
386,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,80,28,8.87,1.79,15,7.42,1.75
387,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,80,19,9.46,1.57,15,7.42,1.75
388,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,210,17,84.94,18.27,19,62.14,14.71
389,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,210,52,69.06,18.47,19,62.14,14.71
390,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,210,24,26.15,4.53,22,23.37,4.38
391,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,body_weight,F1,210,46,24.92,5.4,22,23.37,4.38
398,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,body_weight,P1,30,50,0.026,0.001,50,0.02,0.001
399,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,body_weight,P1,60,50,0.134,0.006,50,0.116,0.005
400,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,body_weight,P1,90,50,0.387,0.025,50,0.303,0.021
428,"Mankiewicz et al., 2022",fish,rainbow trout,LepR,gene_editing,NA,body_weight,P1,21,16,219.16,9.11,18,205.69,6.51
429,"Mankiewicz et al., 2022",fish,rainbow trout,LepR,gene_editing,NA,body_weight,P1,42,15,306.41,16.1,15,267.17,13.76
436,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,360,2,55.8,13.8,27,46.9,23.5
437,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,540,6,616.7,281.5,29,417.6,217.5
438,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,810,5,1044,346.8,16,917.5,212.8
439,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,990,6,1600,629.3,15,1412,368.9
440,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,1080,5,2120,556.1,8,1820,305.8
441,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,180,21,17.8,5.4,20,16.6,4.4
442,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,360,18,35.9,9.5,18,32.7,7.3
443,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,450,6,194,35.5,7,204.1,37.8
444,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,630,8,572.5,154.2,12,578.3,149.8
