ID,Author,category,species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
445,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,720,5,822,182.3,7,754.3,114.1
446,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,840,7,1322.9,364.3,10,1044,304.9
447,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,360,112,37.6,10.1,109,28.8,22.7
448,"Coogan et al., 2022a",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,540,41,55.4,21.2,38,39.7,26.8
449,"Du et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,540,8,70.51,3.25,8,60.15,1.73
450,"Du et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,540,8,39.25,1.04,8,30.02,2.15
451,"Shahi et al., 2022",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,90,12,480.7,52.6,12,382.3,55.7
452,"Shahi et al., 2022",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,6,12,38.9,2.9,12,38.5,3.4
453,"Shahi et al., 2022",fish,Common carp,mstn,gene_editing,NA,body_weight,P1,24,12,110.7,23.7,12,69.5,11.4
457,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,360,8,58.26,24.71,29,46.9,23.45
458,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,540,8,600,169.79,29,417.59,217.48
459,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,720,3,1166.67,299.56,16,917.5,212.78
460,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,930,5,1770,177.2,15,1412,368.9
461,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,1080,5,1996,473.79,8,1820,305.75
462,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,180,104,17.26,6.35,22,13.23,3.47
463,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,360,104,123.53,59.07,22,118.27,42.13
464,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,540,97,457.76,183,20,451.1,156.23
465,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,F1,180,71,19.88,6.95,60,12.03,4.55
466,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,F1,270,70,23.66,8.28,59,13.68,5.5
467,"Coogan et al., 2022b",fish,channel catfish,mstn,gene_editing,NA,body_weight,F1,360,65,113.1,38.9,60,35.53,28
468,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,0,6,33.2,1.23,6,30.67,2.85
469,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,90,6,111.4,6.45,6,99.05,7.46
470,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,180,6,184.71,12.16,6,167.2,16.32
471,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,270,6,252.82,15.05,6,213.37,20.05
472,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,360,6,335.67,16.27,6,280.13,19.75
473,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,450,6,412.76,19.56,6,328.56,24.05
474,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,540,6,482.51,18.94,6,402.25,24.58
475,"Zhao et al., 2022",cattle,yellow cattle,mstn,gene_editing,NA,body_weight,P1,720,6,593.59,21.64,6,485.73,28.17
476,"Zhou et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,0,8,4.23,0.8,8,3.74,0.56
477,"Zhou et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,30,8,10.61,1.77,8,8.58,1.79
478,"Zhou et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,60,8,15.88,2.92,8,12.78,2.41
479,"Zhou et al., 2022",sheep,Ningxia Tianyuan,mstn,gene_editing,NA,body_weight,P1,90,8,21.56,2.47,8,17.23,1.73
482,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,20,5,409.704,86.486,5,474.394,10.811
483,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,40,5,1229.111,86.486,5,1164.42,43.243
484,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,60,5,1919.137,75.676,5,1897.574,162.162
485,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,80,5,2447.439,118.919,5,2415.094,194.595
486,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,100,5,2867.925,205.405,5,2652.291,356.757
487,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,120,5,3148.248,248.649,5,2814.016,270.27
488,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,140,5,3320.755,270.27,5,2921.833,172.973
489,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,160,5,3579.515,64.865,5,3072.776,129.73
490,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,P1,180,5,3708.895,97.297,5,3212.938,108.108
492,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,20,5,413.105,85.47,5,427.35,0
493,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,40,5,1125.356,242.165,5,1153.846,85.47
494,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,60,5,1794.872,213.675,5,1794.872,56.98
495,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,80,5,2222.222,185.185,5,2122.507,156.695
496,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,100,5,2706.553,398.86,5,2393.162,213.675
497,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,120,5,3162.393,356.125,5,2735.043,156.695
498,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,140,5,3575.499,213.675,5,3119.658,142.45
499,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,160,5,3917.379,156.695,5,3333.333,170.94
500,"Zheng et al., 2022",rabbit,Gluteus maximus,mstn,gene_editing,NA,body_weight,F1,180,5,4145.299,99.715,5,3561.254,185.185
501,"Hai et al., 2023",cattle,Luxi Cattle,mstn,gene_editing,NA,body_weight,F1,360,30,285.8,184.1,45,252.9,150.7
502,"Khalil et al., 2023",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,300,16,73.7,4.48,16,49.3,1.792
503,"Khalil et al., 2023",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,360,16,162,13.441,16,126.8,6.272
504,"Khalil et al., 2023",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,390,16,233.5,16.129,16,203.2,8.065
505,"Khalil et al., 2023",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,480,16,375.3,29.57,16,291.6,13.441
506,"Khalil et al., 2023",fish,channel catfish,mc4r,gene_editing,NA,body_weight,F1,540,16,421.9,36.738,16,304.9,16.129
514,"Zheng et al., 2023",fish,Culter alburnus,mstn,gene_editing,NA,body_weight,F1,60,20,8.85,1.54,20,6.6,1.24
516,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,0,4,44.164,0,5,33.123,3.527
517,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,0,3,41.009,4.732,3,34.7,0
518,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,221,4,301.262,26.814,5,208.202,20.505
519,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,221,3,317.898,31.546,3,236.593,18.927
520,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,374,4,444.795,41.009,5,345.426,18.927
521,"Cuellar et al., 2024",cattle,Angus,PRLR,gene_editing,NA,body_weight,P1,374,3,397.476,22.082,3,339.117,12.618
522,"Kim et al., 2024",fish,olive flounder,mstn,gene_editing,NA,body_weight,F1,180,3,2876.6,206.9,3,2039,285.5
523,"Kim et al., 2024",fish,olive flounder,mstn,gene_editing,NA,body_weight,F1,180,3,2316,382.1,3,1726.5,158
526,"Huang et al., 2024",fish,Red crucian carp,mc4r,gene_editing,NA,body_weight,P1,180,8,15.22,6.93,8,10.91,2.6
527,"Wang et al., 2024",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,90,8,30.6,8.3,19,16.1,5.4
528,"Wang et al., 2024",fish,channel catfish,mstn,gene_editing,NA,body_weight,P1,720,8,752.3,104.6,14,518.8,184.7
529,"Wang et al., 2024",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,90,15,28.4,9,19,16.1,5.4
530,"Wang et al., 2024",fish,channel catfish,mc4r,gene_editing,NA,body_weight,P1,720,12,680.9,139.3,14,518.8,184.7
5,"Zhang et al., 1990",fish,Common carp,rtGH,transgenesis,RSV,body_weight,P1,90,7,143.4,31,64,116.1,40
6,"Zhang et al., 1990",fish,Common carp,rtGH,transgenesis,RSV,body_weight,F1,90,28,120.6,17.4,38,99.3,14.7
7,"Zhang et al., 1990",fish,Common carp,rtGH,transgenesis,RSV,body_weight,F1,90,11,206,45.2,15,147,48
9,"Du et al., 1992",fish,Atlantic salmon,csGH,transgenesis,opAFP,body_weight,P1,330,6,20.9,5.13,43,7.4,0.26
10,"Du et al., 1992",fish,Atlantic salmon,csGH,transgenesis,opAFP,body_weight,P1,720,6,47.3,9.5,43,9.48,0.6
14,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,180,9,63.897,0,34,65.515,3.235
15,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,180,9,77.647,4.044,34,69.559,3.235
16,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,260,9,99.485,2.426,34,102.721,4.853
17,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,260,9,130.221,11.324,34,108.382,6.471
18,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,10.515,34,189.265,11.324
19,"Gross et al., 1992",fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,5.662,34,161.765,9.706
20,"Devlin et al., 1995",fish,Coho salmon,csGH,transgenesis,opAFP,body_weight,P1,150,6,14,1.1,25,3.9,0.4
21,"Devlin et al., 1995",fish,Coho salmon,csGH,transgenesis,opAFP,body_weight,P1,450,15,278.2,61.3,370,26.1,1.7
26,"Devlin et al., 1995",fish,Rainbow trout,csGH,transgenesis,opAFP,body_weight,P1,300,18,119.5,12.4,29,37.9,9.4
29,"Martínez et al., 1996",fish,Hybrid tilapia,tiGH,transgenesis,CMV,body_weight,F1,270,18,399.1,94.1,20,219.5,49.1
49,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,CMV,body_weight,P1,150,14,14.151,0,105,2.83,0
50,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnMT,body_weight,P1,150,14,68.868,6.604,105,2.83,0
51,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnH3,body_weight,P1,150,14,200.943,16.981,105,2.83,0
52,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,CMV,body_weight,P1,240,13,15.094,0,100,3.774,0
53,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnMT,body_weight,P1,240,13,65.094,5.66,100,3.774,0
54,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnH3,body_weight,P1,240,13,227.358,18.868,100,3.774,0
55,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,CMV,body_weight,P1,300,9,11.321,2.83,95,13.208,0
56,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnMT,body_weight,P1,300,9,50,7.547,95,13.208,0
57,"Pitkanen et al., 1999",fish,Arctic charr,ssGH,transgenesis,OnH3,body_weight,P1,300,9,209.434,34.906,95,13.208,0
64,"Martínez et al., 1999",fish,Wami tilapia,tiGH,transgenesis,CMV,body_weight,F1,120,6,213.3,33.2,11,156.4,64.2
65,"Martínez et al., 1999",fish,Wami tilapia,tiGH,transgenesis,CMV,body_weight,F1,120,8,263.7,31,11,156.4,64.2
74,"Wang et al., 2001",fish,Common carp,gcGH,transgenesis,?-actin,body_weight,P1,120,324,863,62,359,1203,124
78,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,90,110,87.181,12.758,110,6.379,0
79,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,120,110,141.616,22.965,110,6.379,0
80,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,150,110,210.51,29.344,110,8.931,0
81,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,180,110,263.67,34.022,110,9.356,3.402
82,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,210,110,304.07,37.424,110,13.609,2.977
83,"Nam et al., 2001",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,P1,240,110,320.656,35.723,110,16.586,4.253
84,"Adams et al., 2002",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,0,22,4.33,1.2,55,4.14,0.9
85,"Adams et al., 2002",sheep,Poll Dorset,ovGH,transgenesis,SpMT,body_weight,F1,0,13,3.36,0.6,42,3.78,1.2
101,"Adams et al., 2002",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,180,3,27.926,5.832,3,21.273,5.996
102,"Adams et al., 2002",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,180,3,36.797,2.382,3,28.008,1.971
103,"Adams et al., 2002",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,180,3,28.747,2.3,3,27.187,2.218
104,"Pursel et al., 2004",pig,DeKalb,IGF-I,transgenesis,?-actin,body_weight,P1,0,34,1.45,0.1,40,1.53,0.05
105,"Pursel et al., 2004",pig,DeKalb,IGF-I,transgenesis,?-actin,body_weight,P1,30,34,1.51,0.09,40,1.6,0.08
110,"Adams and Briegel, 2005",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,360,7,62.5,1.3,9,54.4,1.2
111,"Adams and Briegel, 2005",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,720,7,82.2,2.3,9,71.4,1.6
112,"Adams et al, 2006",sheep,Merino,ovGH,transgenesis,SpMT,body_weight,F1,600,6,69.9,1.6,6,59.4,1.6
113,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,?-actin,body_weight,F1,0,23,462,13.5,34,441,12.7
114,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,?-actin,body_weight,F1,0,11,444,15.6,27,427,10.9
118,"Kobayashi et al., 2007",fish,Nile tilapia,tiGH,transgenesis,?-actin,body_weight,F1,30,10,3.26,0.56,10,0.82,0.2
119,"Kobayashi et al., 2007",fish,Nile tilapia,tiGH,transgenesis,?-actin,body_weight,F1,120,10,230,29.5,10,32.8,9.3
120,"Kobayashi et al., 2007",fish,Nile tilapia,tiGH,transgenesis,?-actin,body_weight,F1,480,10,2296.4,871.7,10,683.2,153.7
121,"Kobayashi et al., 2007",fish,Nile tilapia,tiGH,transgenesis,?-actin,body_weight,F1,480,10,2509.4,783.2,10,379.7,117.8
127,"Arenal et al., 2008",shrimp,Southern white shrimp,tiGH,transgenesis,CMV,body_weight,P1,10,17,1.9,0.1,33,1.5,0.2
150,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,30,22,4.034,0,48,1.513,0
151,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,30,22,12.101,1.513,48,1.513,0
152,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,30,22,8.067,0,48,1.513,0
153,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,30,22,8.824,0,48,1.513,0
154,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,60,22,5.546,0,48,4.034,0
155,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,60,22,22.185,2.017,48,4.034,0
156,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,60,22,15.378,0,48,4.034,0
157,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,60,22,15.882,0,48,4.034,0
158,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,90,22,10.84,1.765,48,4.286,0
159,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,90,22,28.235,1.765,48,4.286,0
160,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,90,22,29.244,3.025,48,4.286,0
161,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,90,22,29.748,3.025,48,4.286,0
162,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,120,22,13.613,2.269,48,6.303,0
163,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,120,22,32.521,3.277,48,6.303,0
164,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,120,22,41.092,3.782,48,6.303,0
165,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,120,22,43.109,4.034,48,6.303,0
166,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,150,22,19.412,2.269,48,8.319,1.261
167,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,150,22,36.807,4.034,48,8.319,1.261
168,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,150,22,51.176,5.546,48,8.319,1.261
169,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,150,22,58.739,6.05,48,8.319,1.261
170,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,180,22,22.185,3.025,48,10.084,2.269
171,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,180,22,40.84,4.286,48,10.084,2.269
172,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,180,22,68.824,6.555,48,10.084,2.269
173,"Song and Kim, 2012",fish,Mud loach,mlGH,transgenesis,?-actin,body_weight,F1,180,22,74.622,7.815,48,10.084,2.269
231,"Jiang et al., 2017",fish,blunt snout bream,gcFST,transgenesis,Mylz2,body_weight,F1,510,8,15.811,1.351,8,10.405,0.946
285,"Buwono et al., 2019",fish,mutiara catfish,cgGH,transgenesis,?-actin,body_weight,F1,65,3,70.94,2.12,3,16.771,5.205
286,"Buwono et al., 2019",fish,mutiara catfish,cgGH,transgenesis,?-actin,body_weight,F1,65,3,53.398,10.41,3,16.771,5.205
287,"Buwono et al., 2019",fish,mutiara catfish,cgGH,transgenesis,?-actin,body_weight,F1,65,3,62.843,6.554,3,16.771,5.205
326,"Gaffney et al., 2020",fish,Coho salmon,csGH,transgenesis,OnMT,body_weight,F1,270,30,205.7,80.6,30,111.2,49.3
404,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,opAFP,body_weight,F1,112,14,8.86,3.2,56,6.3,1.75
405,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,opAFP,body_weight,F1,112,10,12.45,4.51,60,7.71,3.24
406,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,opAFP,body_weight,F1,112,22,8.77,1.39,74,5.45,1.55
407,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,rtMT,body_weight,F1,112,7,7.79,4.03,63,4.37,1.75
408,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,rtMT,body_weight,F1,112,34,10.94,3.49,60,8.09,2.41
409,"Abass et al., 2021a",fish,channel catfish,ccGH,transgenesis,rtMT,body_weight,F1,112,16,9.63,3.4,54,7.81,2.33
416,"Abass et al., 2021b",fish,channel catfish,ccGH,transgenesis,opAFP,body_weight,F1,480,50,713,360.7,120,473.8,237.3
417,"Abass et al., 2021b",fish,channel catfish,ccGH,transgenesis,rtMT,body_weight,F1,480,41,680.5,251,120,473.8,237.3
418,"Abass et al., 2021b",fish,channel catfish,ccGH,transgenesis,opAFP,body_weight,F1,1440,24,1876.3,827.5,103,726.6,395.2
419,"Abass et al., 2021b",fish,channel catfish,ccGH,transgenesis,rtMT,body_weight,F1,1440,30,2173.3,588,103,726.6,395.2
