ID,Study_ID,Author,Year,category,species,Species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,weight_gain,P1,50,6,817,234,6,781,44
2,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,plasma_GH,P1,0,6,7.07,10.38,6,6.4,5.2
3,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,plasma_GH,P1,50,5,14.3,8.12,6,11.3,2.7
5,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,P1,90,7,143.4,31,64,116.1,40
6,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,F1,90,28,120.6,17.4,38,99.3,14.7
7,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,F1,90,11,206,45.2,15,147,48
8,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,plasma_GH,P1,720,5,39.9,14.8,5,20.5,7.97
9,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,body_weight,P1,330,6,20.9,5.13,43,7.4,0.26
10,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,body_weight,P1,720,6,47.3,9.5,43,9.48,0.6
11,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,SGR,P1,720,6,0.836,0.186,43,0.213,0.023
12,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,condition_factor,P1,330,6,8.99,0.27,43,10,0.01
13,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,condition_factor,P1,720,6,9.07,0.48,43,10.5,0.1
14,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,180,9,63.897,0,34,65.515,3.235
15,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,180,9,77.647,4.044,34,69.559,3.235
16,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,260,9,99.485,2.426,34,102.721,4.853
17,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,260,9,130.221,11.324,34,108.382,6.471
18,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,10.515,34,189.265,11.324
19,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,5.662,34,161.765,9.706
20,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,body_weight,P1,150,6,14,1.1,25,3.9,0.4
21,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,body_weight,P1,450,15,278.2,61.3,370,26.1,1.7
22,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,SGR,P1,150,6,3.79,0.37,25,1.03,0.26
23,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,SGR,P1,450,15,2.14,0.24,370,1.82,0.03
25,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,condition_factor,P1,450,15,8,0.2,370,9,0.3
26,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,body_weight,P1,300,18,119.5,12.4,29,37.9,9.4
27,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,SGR,P1,300,18,1.64,0.16,29,1.44,0.11
28,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,condition_factor,P1,300,18,7.8,0.2,29,7.7,0.3
29,6,Martínez et al.,1996,fish,Hybrid tilapia,Oreochromis niloticus,tiGH,transgenesis,CMV,body_weight,F1,270,18,399.1,94.1,20,219.5,49.1
30,6,Martínez et al.,1996,fish,Hybrid tilapia,Oreochromis niloticus,tiGH,transgenesis,CMV,plasma_GH,F1,240,13,25.7,14.6,90,26.1,20.6
31,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,plasma_GH,P1,150,6,1.02,0.14,6,0,0
34,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,150,18,17.46,0.32,32,17.58,0.31
35,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,150,110,15.33,102,446,18.06,0.3
36,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,SGR,F1,180,12,2.73,0.34,13,2.2,0.67
37,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,weight_gain,F1,180,12,97.87,11.67,13,22.67,3.71
38,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,FCE,F1,180,12,131.34,6.92,13,98.61,3.65
39,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,454.6,41.2,80,378.2,18.3
40,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,416.6,33,80,378.2,18.3
41,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,410.5,25.5,80,378.2,18.3
42,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,SGR,F1,180,80,2.2,0.5,80,2.6,0.23
43,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,SGR,F1,180,80,2,1.3,80,2.6,0.23
44,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,SGR,F1,180,80,2.4,0.45,80,2.6,0.23
45,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,90,51,27.8,12.2,80,9.5,2.6
46,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,90,80,34.8,11.8,80,9.5,2.6
47,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,SGR,F1,90,51,1,0.13,80,0.4,0.11
48,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,SGR,F1,90,80,0.9,0.13,80,0.4,0.11
49,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,CMV,body_weight,P1,150,14,14.151,0,105,2.83,0
50,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,OnMT,body_weight,P1,150,14,68.868,6.604,105,2.83,0
52,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,CMV,body_weight,P1,240,13,15.094,0,100,3.774,0
55,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,CMV,body_weight,P1,300,9,11.321,2.83,95,13.208,0
56,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,OnMT,body_weight,P1,300,9,50,7.547,95,13.208,0
57,9,Pitkanen et al.,1999,fish,Arctic charr,Salvelinus alpinus,ssGH,transgenesis,OnH3,body_weight,P1,300,9,209.434,34.906,95,13.208,0
61,10,Rahman and Maclean,2002,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,210,18,17.46,0.32,32,17.58,0.31
62,10,Rahman and Maclean,2002,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,210,2,17.46,0.2,49,18.9,0.38
64,11,Martínez et al.,1999,fish,Wami tilapia,Oreochromis urolepi,tiGH,transgenesis,CMV,body_weight,F1,120,6,213.3,33.2,11,156.4,64.2
65,11,Martínez et al.,1999,fish,Wami tilapia,Oreochromis urolepi,tiGH,transgenesis,CMV,body_weight,F1,120,8,263.7,31,11,156.4,64.2
67,12,Cook et al.,2000,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,FCE,F1,180,35,85.5,20,45,65.8,23.6
69,13,Hill et al.,2000,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,OnMT,myofiber_size,F1,60,5,170,4,3,176,8
70,14,Kim et al.,2000,pig,Landrace,Sus scrofa,mc4r,gene_editing,NA,SGR,P1,60,12,982.8,22.8,16,892.6,10.4
71,14,Kim et al.,2000,pig,Landrace,Sus scrofa,mc4r,gene_editing,NA,SGR,P1,60,9,913.3,11.6,8,892.6,10.4
72,14,Kim et al.,2000,pig,Large white,Sus scrofa,mc4r,gene_editing,NA,SGR,P1,60,16,868.4,12.1,9,841.7,13.8
73,14,Kim et al.,2000,pig,Large white,Sus scrofa,mc4r,gene_editing,NA,SGR,P1,60,19,862.4,15.1,11,841.7,13.8
74,15,Wang et al.,2001,fish,Common carp,Cyprinus carpio,gcGH,transgenesis,?-actin,body_weight,P1,120,324,863,62,359,1203,124
75,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,FCE,F1,90,36,90.222,9.111,36,48,4.222
76,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,FCE,F1,90,36,87.333,11.111,36,45.778,4.889
77,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,FCE,F1,90,36,70.667,11.556,36,44.222,6.667
78,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,90,110,87.181,12.758,110,6.379,0
79,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,120,110,141.616,22.965,110,6.379,0
80,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,150,110,210.51,29.344,110,8.931,0
81,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,180,110,263.67,34.022,110,9.356,3.402
82,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,210,110,304.07,37.424,110,13.609,2.977
83,16,Nam et al.,2001,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,P1,240,110,320.656,35.723,110,16.586,4.253
84,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,0,22,4.33,1.2,55,4.14,0.9
85,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,0,13,3.36,0.6,42,3.78,1.2
86,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,90,4,4.3,0.89,4,2,0.92
87,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,90,28,1.7,0.9,34,2.2,0.56
88,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,90,24,3.3,1,25,1.8,0.3
89,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,150,4,4.7,0.3,4,1.4,0.08
90,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,150,28,1.3,0.46,34,1.2,0.4
91,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,150,24,4,1,25,1.6,0.9
92,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,420,4,7.7,1.2,4,3.5,0.4
93,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,420,28,4,0.9,34,3.3,0.9
94,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,420,24,8.7,1.1,25,3.8,1
95,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,510,4,5.6,0.9,4,1.4,0.34
96,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,510,28,1.6,0.35,34,1.6,0.13
97,17,Adams et al.,2002,sheep,Poll Dorset,Ovis aries,ovGH,transgenesis,SpMT,plasma_GH,F1,510,24,7,0.8,25,1.9,0.22
98,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,condition_factor,F1,180,3,1.977,0.193,3,2.239,0.15
99,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,condition_factor,F1,180,3,2.152,0.05,3,2.383,0.05
100,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,condition_factor,F1,180,3,2.389,0.044,3,2.389,0.05
101,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,180,3,27.926,5.832,3,21.273,5.996
102,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,180,3,36.797,2.382,3,28.008,1.971
103,17,Adams et al.,2002,sheep,Merino,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,180,3,28.747,2.3,3,27.187,2.218
104,18,Pursel et al.,2004,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,body_weight,P1,0,34,1.45,0.1,40,1.53,0.05
105,18,Pursel et al.,2004,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,body_weight,P1,30,34,1.51,0.09,40,1.6,0.08
108,19,Venugopal et al.,2004,fish,Rohu,Labeo rohita,roGH,transgenesis,CMV,FCE,P1,240,3,159,25,3,72.6,8.66
109,19,Venugopal et al.,2004,fish,Rohu,Labeo rohita,roGH,transgenesis,CMV,FCE,P1,720,3,121,26.6,3,93.65,3.527
110,20,Adams and Briegel,2005,sheep,Merino ,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,360,7,62.5,1.3,9,54.4,1.2
111,20,Adams and Briegel,2005,sheep,Merino ,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,720,7,82.2,2.3,9,71.4,1.6
112,21,Adams et al,2006,sheep,Merino ,Ovis aries,ovGH,transgenesis,SpMT,body_weight,F1,600,6,69.9,1.6,6,59.4,1.6
113,22,Bee et al.,2007,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,body_weight,F1,0,23,462,13.5,34,441,12.7
114,22,Bee et al.,2007,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,body_weight,F1,0,11,444,15.6,27,427,10.9
115,22,Bee et al.,2007,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,myofiber_number,F1,0,23,8.6,0.9,34,10.1,1.1
116,22,Bee et al.,2007,pig,DeKalb,Sus scrofa,IGF-I,transgenesis,?-actin,myofiber_number,F1,0,11,10.38,0.85,27,11.1,2
117,23,Mosher et al.,2007,dog,whippet dog,Canis lupus,mstn,gene_editing,NA,body_weight,P1,0,5,0.45,0.07,22,0.23,0.06
118,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,body_weight,F1,30,10,3.26,0.56,10,0.82,0.2
119,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,body_weight,F1,120,10,230,29.5,10,32.8,9.3
120,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,body_weight,F1,480,10,2296.4,871.7,10,683.2,153.7
121,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,body_weight,F1,480,10,2509.4,783.2,10,379.7,117.8
122,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,condition_factor,F1,480,10,45.64,4.85,10,38.31,2.69
123,24,Kobayashi et al.,2007,fish,Nile tilapia,Oreochromis niloticus,tiGH,transgenesis,?-actin,condition_factor,F1,480,10,45.92,4.21,10,36.22,2.07
125,25,Oakes et al.,2007,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,SGR,F1,60,6,2.06,0.98,12,1.03,0.9
126,25,Oakes et al.,2007,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,FCE,F1,60,6,6.39,1.22,12,5.81,0.98
127,26,Arenal et al.,2008,shrimp,Southern white shrimp,Litopenaeus setiferus,tiGH,transgenesis,CMV,body_weight,P1,10,17,1.9,0.1,33,1.5,0.2
128,27,Boman et al.,2009,sheep,Norwegian White Sheep,Ovis aries,mstn,gene_editing,NA,body_weight,P1,150,7,24.2,4.8,395,19.2,6.1
129,27,Boman et al.,2009,sheep,Norwegian White Sheep,Ovis aries,mstn,gene_editing,NA,body_weight,P1,150,17,23.4,3.3,395,19.2,6.1
130,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,49,489,545.87,4.97,126,538.31,7.48
131,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,49,415,550.35,5.22,126,538.31,7.48
132,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,63,489,661.42,7.96,126,646.19,14.3
133,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,63,415,654.43,8.57,126,646.19,14.3
134,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,77,489,721.52,10.11,126,700.37,16.21
135,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,77,415,745.24,10.72,126,700.37,16.21
136,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,91,489,991.41,9.32,126,971.84,13.84
137,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,91,415,1003.47,9.77,126,971.84,13.84
138,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,119,489,1295.19,11.15,126,1252.45,17.08
139,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,119,415,1298.43,11.74,126,1252.45,17.08
140,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,49,356,535.18,5.45,648,553.5,4.75
141,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,49,27,535.8,13.43,648,553.5,4.75
142,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,63,356,646.69,9.15,648,661.33,7.21
143,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,63,27,675.25,28.69,648,661.33,7.21
144,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,77,356,712.2,11.38,648,738.68,9.61
145,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,77,27,690.82,30.57,648,738.68,9.61
146,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,91,356,978.04,10.24,648,1003.05,8.97
147,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,91,27,973.31,24.85,648,1003.05,8.97
148,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,119,356,1276.46,12.34,648,1302.55,10.65
149,28,Tang et al.,2010,chicken,Beijing You,Gallus gallus,TGF?2,gene_editing,NA,body_weight,F1,119,27,1211.65,31.31,648,1302.55,10.65
150,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,30,22,4.034,0,48,1.513,0
151,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,30,22,12.101,1.513,48,1.513,0
152,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,30,22,8.067,0,48,1.513,0
153,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,30,22,8.824,0,48,1.513,0
154,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,60,22,5.546,0,48,4.034,0
155,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,60,22,22.185,2.017,48,4.034,0
156,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,60,22,15.378,0,48,4.034,0
157,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,60,22,15.882,0,48,4.034,0
158,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,90,22,10.84,1.765,48,4.286,0
160,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,90,22,29.244,3.025,48,4.286,0
161,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,90,22,29.748,3.025,48,4.286,0
162,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,120,22,13.613,2.269,48,6.303,0
163,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,120,22,32.521,3.277,48,6.303,0
164,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,120,22,41.092,3.782,48,6.303,0
165,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,120,22,43.109,4.034,48,6.303,0
166,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,150,22,19.412,2.269,48,8.319,1.261
167,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,150,22,36.807,4.034,48,8.319,1.261
168,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,150,22,51.176,5.546,48,8.319,1.261
169,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,150,22,58.739,6.05,48,8.319,1.261
170,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,180,22,22.185,3.025,48,10.084,2.269
171,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,180,22,40.84,4.286,48,10.084,2.269
172,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,180,22,68.824,6.555,48,10.084,2.269
173,29,Song and Kim,2012,fish,Mud loach,Misgurnus fossilis,mlGH,transgenesis,?-actin,body_weight,F1,180,22,74.622,7.815,48,10.084,2.269
174,30,Luo et al.,2014,cattle,Yellow cattle,Bos taurus,mstn,gene_editing,NA,myofiber_size,P1,30,3,346,12.9,3,234.8,9.7
175,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,body_weight,P1,240,3,47.07,1.4,6,38.03,0.54
176,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_size,P1,240,3,1286.01,77.36,3,1975.51,111.2
177,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_size,P1,240,3,2837.31,214.41,3,1975.51,111.2
178,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,475.25,18.13,3,396.35,10.51
179,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,348.88,15.57,3,396.35,10.51
180,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,1508,93.33,3,1954,34.99
181,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,514.8,39.47,3,412.9,4.36
182,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,15.7,2.2,3,7.79,0.76
183,31,Qian et al.,2015,pig,Meishan,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,240,3,8.54,0.35,3,7.79,0.76
184,32,Wang et al.,2015,pig,Landrace,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,0,5,208410.351,5083.179,5,161275.416,13401.109
185,32,Wang et al.,2015,pig,Landrace,Sus scrofa,mstn,gene_editing,NA,myofiber_number,P1,0,5,207486.137,9242.144,5,150184.843,7855.823
186,33,Crispo et al.,2015,sheep,Helsinki ,Ovis aries,mstn,gene_editing,NA,body_weight,P1,15,5,8.086,0.756,12,4.332,0.378
